"Country Name","Country Code","Region","IncomeGroup",
"阿鲁巴","ABW","","high非经合组织国家",
"阿富汗","AFG","南亚","low国家",
"安哥拉","AGO","撒哈拉以南非洲","mid收入国家",
"阿尔巴尼亚","ALB","欧洲和中亚","mid收入国家",
"安道尔共和国","AND","","high非经合组织国家",
"阿拉伯联盟国家","ARB","","",
"阿拉伯联合酋长国","ARE","","high非经合组织国家",
"阿根廷","ARG","拉丁美洲&加勒比海地区","mid收入国家",
"亚美尼亚","ARM","欧洲和中亚","mid收入国家",
"美属萨摩亚","ASM","东亚与太平洋","mid收入国家",
"安提瓜和巴布达","ATG","拉丁美洲&加勒比海地区","high非经合组织国家",
"澳大利亚","AUS","","high经合组织国家",
"奥地利","AUT","","high经合组织国家",
"阿塞拜疆","AZE","欧洲和中亚","mid收入国家",
"布隆迪","BDI","撒哈拉以南非洲","low国家",
"比利时","BEL","","high经合组织国家",
"贝宁","BEN","撒哈拉以南非洲","low国家",
"布基纳法索","BFA","撒哈拉以南非洲","low国家",
"孟加拉国","BGD","南亚","low国家",
"保加利亚","BGR","欧洲和中亚","mid收入国家",
"巴林","BHR","","high非经合组织国家",
"巴哈马","BHS","","high非经合组织国家",
"波斯尼亚和黑塞哥维那","BIH","欧洲和中亚","mid收入国家",
"白俄罗斯","BLR","欧洲和中亚","mid收入国家",
"伯利兹","BLZ","拉丁美洲&加勒比海地区","mid收入国家",
"百慕大","BMU","","high非经合组织国家",
"玻利维亚","BOL","拉丁美洲&加勒比海地区","mid收入国家",
"巴西","BRA","拉丁美洲&加勒比海地区","mid收入国家",
"巴巴多斯","BRB","","high非经合组织国家",
"文莱达鲁萨兰国","BRN","","high非经合组织国家",
"不丹","BTN","南亚","mid收入国家",
"博茨瓦纳","BWA","撒哈拉以南非洲","mid收入国家",
"","CAA","","",
"中非共和国","CAF","撒哈拉以南非洲","low国家",
"加拿大","CAN","","high经合组织国家",
"","CEA","","",
"","CEU","","",
"瑞士","CHE","","high经合组织国家",
"海峡群岛","CHI","","high非经合组织国家",
"智利","CHL","拉丁美洲&加勒比海地区","high经合组织国家",
"中国","CHN","东亚与太平洋","mid收入国家",
"科特迪瓦","CIV","撒哈拉以南非洲","mid收入国家",
"","CLA","","",
"","CME","","",
"喀麦隆","CMR","撒哈拉以南非洲","mid收入国家",
"刚果（金）","COD","撒哈拉以南非洲","low国家",
"刚果（布）","COG","撒哈拉以南非洲","mid收入国家",
"哥伦比亚","COL","拉丁美洲&加勒比海地区","mid收入国家",
"科摩罗","COM","撒哈拉以南非洲","low国家",
"佛得角","CPV","撒哈拉以南非洲","mid收入国家",
"哥斯达黎加","CRI","拉丁美洲&加勒比海地区","mid收入国家",
"","CSA","","",
"加勒比小国","CSS","","",
"古巴","CUB","拉丁美洲&加勒比海地区","mid收入国家",
"库拉索","CUW","","high非经合组织国家",
"开曼群岛","CYM","","high非经合组织国家",
"塞浦路斯","CYP","","high非经合组织国家",
"捷克共和国","CZE","","high经合组织国家",
"德国","DEU","","high经合组织国家",
"吉布提","DJI","中东&北非","mid收入国家",
"多米尼克","DMA","拉丁美洲&加勒比海地区","mid收入国家",
"丹麦","DNK","","high经合组织国家",
"多米尼加共和国","DOM","拉丁美洲&加勒比海地区","mid收入国家",
"阿尔及利亚","DZA","中东&北非","mid收入国家",
"东亚与太平洋","EAP","","",
"东亚与太平洋地区（所有收入水平）","EAS","","",
"欧洲和中亚","ECA","","",
"欧洲与中亚地区（所有收入水平）","ECS","","",
"厄瓜多尔","ECU","拉丁美洲&加勒比海地区","mid收入国家",
"阿拉伯埃及共和国","EGY","中东&北非","mid收入国家",
"欧洲货币联盟","EMU","","",
"厄立特里亚","ERI","撒哈拉以南非洲","low国家",
"西班牙","ESP","","high经合组织国家",
"爱沙尼亚","EST","","high经合组织国家",
"埃塞俄比亚","ETH","撒哈拉以南非洲","low国家",
"欧洲联盟","EUU","","",
"芬兰","FIN","","high经合组织国家",
"斐济","FJI","东亚与太平洋","mid收入国家",
"法国","FRA","","high经合组织国家",
"法罗群岛","FRO","","high非经合组织国家",
"密克罗尼西亚联邦","FSM","东亚与太平洋","mid收入国家",
"加蓬","GAB","撒哈拉以南非洲","mid收入国家",
"英国","GBR","","high经合组织国家",
"格鲁吉亚","GEO","欧洲和中亚","mid收入国家",
"加纳","GHA","撒哈拉以南非洲","mid收入国家",
"几内亚","GIN","撒哈拉以南非洲","low国家",
"冈比亚","GMB","撒哈拉以南非洲","low国家",
"几内亚比绍共和国","GNB","撒哈拉以南非洲","low国家",
"赤道几内亚","GNQ","","high非经合组织国家",
"希腊","GRC","","high经合组织国家",
"格林纳达","GRD","拉丁美洲&加勒比海地区","mid收入国家",
"格陵兰","GRL","","high非经合组织国家",
"危地马拉","GTM","拉丁美洲&加勒比海地区","mid收入国家",
"关岛","GUM","","high非经合组织国家",
"圭亚那","GUY","拉丁美洲&加勒比海地区","mid收入国家",
"high国家","HIC","","",
"中国香港特别行政区","HKG","","high非经合组织国家",
